PR Number,Title,State,URL,Created At,Merged At
23962,[improve][ml] Use lock-free queue in InflightReadsLimiter since there's no concurrent access ,closed,,2025-02-11T16:12:57Z,2025-02-25T11:08:33Z
23961,[fix] Fix branch 3.0 build failure,closed,,2025-02-11T15:11:51Z,None
23960,[fix][ml] Fix memory leaks in ManagedCursorInfo and ManagedLedgerInfo decompression and compression,closed,,2025-02-11T14:28:41Z,2025-02-11T21:39:13Z
23959,[improve][fn] Provide a way to set Pulsar client memory limit in Pulsar Function,open,,2025-02-11T13:46:35Z,None
23958,[fix][ml] Fix deadlock in PendingReadsManager,closed,,2025-02-11T11:30:42Z,2025-02-11T15:14:18Z
23957,[improve][broker] Avoid PersistentReplicator.expireMessages logic compute backlog twice,closed,,2025-02-11T04:01:52Z,2025-02-11T23:30:02Z
23956,[WIP][improve][ci] Enable Netty leak detection in CI and make leaks fail the build,open,,2025-02-10T19:59:41Z,None
23955,[fix][ml] Fix memory leak due to duplicated RangeCache value retain operations ,closed,,2025-02-10T14:03:44Z,2025-02-10T18:17:54Z
23954,[improve][io] Support Protobuf schema for Kafka source connector,open,,2025-02-10T00:31:59Z,None
23951,[fix] [ml] incorrect non-durable cursor's backlog due to concurrently trimming ledger and non-durable cursor creation,closed,,2025-02-08T09:36:28Z,2025-02-11T03:03:39Z
23950,[improve][pip] PIP-407 Add a newMessage API to create a message with a schema and transaction,closed,,2025-02-07T17:13:48Z,2025-02-28T09:17:01Z
23947,[feat][client] Support forward proxy for the ZTS server in pulsar-client-auth-athenz,closed,,2025-02-07T10:20:09Z,2025-02-08T10:03:29Z
23946,[improve][broker] PIP-406: Introduce metrics related to dispatch throttled events,open,,2025-02-07T09:29:08Z,None
23945,[improve][pip] PIP-406: Introduce metrics related to dispatch throttled events,open,,2025-02-07T09:22:19Z,None
23943,[fix] [client] call redeliver 1 msg but did 2 msgs,closed,,2025-02-07T07:00:59Z,2025-02-10T01:44:07Z
23942,[improve][client]  PIP-407 Add newMessage with schema and transactions,open,,2025-02-06T21:31:46Z,None
23940,[improve][ml] Do not switch thread to execute asyncAddEntry's core logic,closed,,2025-02-06T12:57:38Z,2025-02-10T03:19:33Z
23939,[improve][broker] Avoid logging errors when there is a connection issue during subscription.,closed,,2025-02-06T10:15:03Z,2025-02-06T13:03:10Z
23938,[improve][broker] Avoid printing log for IncompatibleSchemaException in ServerCnx,closed,,2025-02-06T10:00:10Z,2025-02-07T01:48:47Z
23935,[improve][client] Avoid logging errors for retriable errors when creating producer,closed,,2025-02-06T04:13:13Z,2025-02-06T10:52:09Z
23933,[improve][offload] Skip tiered-storage deployment,closed,,2025-02-06T03:56:59Z,2025-02-09T15:25:03Z
23932,[improve][io] Allow skipping connector deployment,closed,,2025-02-06T03:35:52Z,2025-02-08T05:18:46Z
23931,[improve] [broker] Make the estimated entry size more accurate,closed,,2025-02-05T13:56:27Z,2025-02-25T04:57:17Z
23930,[fix][broker] Fix rate limiter token bucket and clock consistency issues causing excessive throttling and connection timeouts,closed,,2025-02-05T13:18:13Z,2025-02-08T17:01:07Z
23929,[improve][broker] Don't print error logs for ProducerBusyException,closed,,2025-02-05T10:38:35Z,2025-02-06T02:07:16Z
23928,[improve][broker] Do not print error logs for NotFound or Conflict errors when using the Admin API,closed,,2025-02-05T10:02:14Z,2025-02-06T09:56:57Z
23927,[fix] [common] Fix RawMessageImpl.getProperties() failed when the message metadata contains the same key but with different values,closed,,2025-02-05T03:23:05Z,2025-03-11T12:13:06Z
23926,[fix] [common] Fix RawMessageImpl.getProperties() failed when the message metadata contains the same key but with different values,closed,,2025-02-05T03:10:37Z,None
23924,[fix][client] Replace String with WebTarget in authenticationStage,open,,2025-02-05T01:56:08Z,None
23919,[fix][broker] Fix seeking by timestamp can be reset the cursor position to earliest,closed,,2025-02-02T15:18:56Z,2025-02-11T06:25:14Z
23918,[improve][broker]Optimize InMemoryDelayedDeliveryTracker by maintaining state,open,,2025-02-02T12:47:22Z,None
23915,[improve][broker] Refactor a private method to eliminate an unnecessary parameter,closed,,2025-01-31T08:57:10Z,2025-02-11T06:52:09Z
23914,[fix] Initialize UrlServiceProvider before trying to use transaction coordinator,closed,,2025-01-30T22:32:37Z,2025-01-31T02:23:37Z
23911,[fix] Avoid NPE when closing an uninitialized SameAuthParamsLookupAutoClusterFailover,closed,,2025-01-29T21:17:04Z,2025-01-30T02:28:40Z
23909,[fix][ci] Configure Docker data-root to /mnt/docker to avoid running out of disk space,closed,,2025-01-29T14:21:52Z,2025-01-29T17:33:40Z
23907,[improve][broker] Implementing delayed message cancellation in pulsar,open,,2025-01-29T03:58:57Z,None
23905,[improve][client] Implement HTTP client using javax.ws.rs,open,,2025-01-28T17:28:50Z,None
23904,[improve][broker] Refactor a private method to eliminate an unnecessary parameter,closed,,2025-01-28T09:23:04Z,None
23903,[fix][broker Fix bug in RangeCache where different instance of the key wouldn't ever match,closed,,2025-01-28T00:31:48Z,2025-01-28T23:23:52Z
23902,[fix][meta] Fix ephemeral Zookeeper put which creates a persistent znode,closed,,2025-01-27T20:15:00Z,None
23901,[fix][broker] Make InflightReadsLimiter asynchronous and apply it for replay queue reads,closed,,2025-01-27T19:51:35Z,2025-01-29T20:11:57Z
23899,[fix] Bump org.apache.solr:solr-core from 8.11.3 to 9.8.0 in /pulsar-io/solr,closed,,2025-01-27T17:23:38Z,2025-02-12T22:38:45Z
23898,[fix][build] Use amazoncorretto:21-alpine3.20 JDK build for Alpine 3.20,closed,,2025-01-27T06:45:38Z,2025-01-27T09:07:51Z
23896,[improve][client] PIP-405 Enhanced Dynamic Handling of Selective Consumers in MultiTopicConsumers,open,,2025-01-25T08:42:50Z,None
23895,[improve][pip] PIP-405: Enhanced Dynamic Handling of Selective Consumers in MultiTopicConsumers,open,,2025-01-25T08:35:09Z,None
23894,[fix][broker] Apply dispatcherMaxReadSizeBytes also for replay reads for Shared and Key_Shared subscriptions,closed,,2025-01-24T22:03:10Z,2025-01-27T06:10:54Z
23893,[fix][test] Fix flaky DelayedDeliveryTest.testEnableTopicDelayedDelivery,closed,,2025-01-24T20:37:37Z,2025-01-28T22:17:22Z
23892,"[improve][test] Support decorating topic, subscription, dispatcher, ManagedLedger and ManagedCursors instances in tests",closed,,2025-01-24T17:24:33Z,2025-01-25T08:59:01Z
23888,[improve][ml]Set default value of managedLedgerPersistIndividualAckAsLongArray to true,closed,,2025-01-24T08:01:44Z,2025-01-24T11:51:50Z
23886,[fix][client] Fix LoadManagerReport not found,closed,,2025-01-23T10:41:59Z,2025-01-24T18:44:16Z
23884,[fix][broker] Closed topics won't be removed from the cache,closed,,2025-01-23T09:12:06Z,2025-02-06T02:14:28Z
23883,[improve][ci] Increase Maven max heap size to 2048M and tune GCLockerRetryAllocationCount,closed,,2025-01-23T08:43:09Z,2025-01-23T11:40:04Z
23881,[improve][fn] Set default tenant and namespace for ListFunctions cmd,closed,,2025-01-23T03:08:33Z,2025-01-24T04:11:00Z
23878,[improve][broker] Support values up to 2^32 in ConcurrentBitmapSortedLongPairSet,closed,,2025-01-22T17:33:45Z,2025-01-23T14:02:45Z
23876,[fix][test] Fix quiet time implementation in BrokerTestUtil.receiveMessages,closed,,2025-01-22T08:02:08Z,2025-01-23T06:48:47Z
23875,[improve][test] Add solution to PulsarMockBookKeeper for intercepting reads,closed,,2025-01-22T07:54:01Z,2025-01-23T06:36:40Z
23874,[fix][broker] PIP-379 Key_Shared implementation race condition causing out-of-order message delivery,closed,,2025-01-21T14:50:41Z,2025-01-23T10:21:45Z
23871,[feat][misc] upgrade oxia java client to 0.5.0,closed,,2025-01-20T23:54:22Z,2025-01-21T02:12:04Z
23869,[fix][broker] Fix repeatedly acquired pending reads quota,closed,,2025-01-20T14:19:15Z,2025-01-27T19:26:32Z
23864,[improve][broker] Improve Consumer.equals performance,closed,,2025-01-18T00:36:08Z,2025-01-20T18:42:51Z
23863,[improve] Upgrade to Netty 4.1.117.Final,closed,,2025-01-17T19:59:50Z,2025-01-20T17:39:54Z
23862,[improve][broker] Remove spamming logs for customized managed ledger,closed,,2025-01-17T13:47:00Z,2025-01-20T14:08:08Z
23861,[fix] Bump golang.org/x/net from 0.23.0 to 0.33.0 in /pulsar-function-go,closed,,2025-01-17T12:12:14Z,2025-02-12T01:09:51Z
23860,[improve][fn] Implement pip 401: Support set batching configurations for Pulsar Functions&Sources,closed,,2025-01-17T09:33:20Z,2025-03-12T05:56:42Z
23859,[fix][client] fix retry topic with exclusive mode.,closed,,2025-01-17T06:39:21Z,2025-02-18T09:59:52Z
23858,[improve][ci] Make semantic pr title required for merging,open,,2025-01-17T03:55:05Z,None
23857,[fix][test] Add reconsumeLater call in RetryTopicTest#testRetryTopicWithMultiTopic.,closed,,2025-01-17T03:19:45Z,2025-01-17T07:57:24Z
23855,"[fix][broker] Revert ""[fix][broker] Cancel possible pending replay read in cancelPendingRead (#23384)""",closed,,2025-01-16T20:14:02Z,2025-01-17T06:08:45Z
