PR Number,Title,State,URL,Created At,Merged At
14833,Bump org.apache.maven.plugin-tools:maven-plugin-annotations from 3.15.0 to 3.15.1,closed,,2024-10-28T07:32:23Z,2024-10-29T07:54:36Z
14832,Bump org.testcontainers:testcontainers from 1.20.2 to 1.20.3,closed,,2024-10-28T07:32:14Z,2024-10-28T13:20:48Z
14831,Bump junit_platform_version from 1.11.2 to 1.11.3,closed,,2024-10-28T07:31:40Z,2024-10-28T13:20:00Z
14830,Bump org.apache.maven.plugins:maven-checkstyle-plugin from 3.5.0 to 3.6.0,closed,,2024-10-28T07:31:04Z,2024-10-28T13:22:18Z
14829,Bump ch.qos.logback:logback-core from 1.5.11 to 1.5.12,closed,,2024-10-28T07:30:57Z,2024-10-29T06:53:32Z
14828,Bump byte-buddy_version from 1.15.1 to 1.15.7,closed,,2024-10-28T07:30:51Z,2024-10-29T06:53:39Z
14827,Bump org.springframework.security:spring-security-bom from 5.8.14 to 5.8.15,closed,,2024-10-28T07:30:18Z,2024-10-28T13:22:53Z
14826,Bump org.apache.maven.plugins:maven-plugin-plugin from 3.15.0 to 3.15.1,closed,,2024-10-28T07:30:10Z,2024-10-29T06:53:24Z
14825,Bump junit_jupiter_version from 5.11.2 to 5.11.3,closed,,2024-10-27T13:54:26Z,2024-10-29T06:53:08Z
14824,Running examples and integration tests in jdk 17,open,,2024-10-26T03:05:59Z,None
14822,A couple of rest bugfix,closed,,2024-10-26T02:50:29Z,2024-10-28T07:11:16Z
14820,Fix unable to deserialize Record using Hessian2,closed,,2024-10-25T08:51:29Z,2024-10-28T07:10:31Z
14817,support jackson custom module,closed,,2024-10-23T03:27:18Z,2024-10-25T08:57:47Z
14816,Keep the behavior consistent with SpringMVC when access through browser,closed,,2024-10-22T16:20:23Z,2024-10-25T09:51:05Z
14815,dubbo-compiler: pom.xml: set manifest main class to Dubbo3TripleGenerator,closed,,2024-10-22T11:52:57Z,2024-10-25T08:58:41Z
14813,Config value supports arrays.,closed,,2024-10-21T16:30:32Z,2024-10-22T08:27:11Z
14812,Fix Path matching bug,closed,,2024-10-21T16:28:02Z,2024-10-22T11:13:16Z
14811,Fix sendRedirect 302 failure,closed,,2024-10-21T16:26:19Z,2024-10-22T11:13:41Z
14810,fix spelling typo,closed,,2024-10-21T13:49:36Z,2024-10-22T08:20:36Z
14808,Bump io.projectreactor:reactor-core from 3.6.10 to 3.6.11,closed,,2024-10-21T08:04:04Z,2024-10-24T14:44:13Z
14807,Bump io.micrometer:micrometer-core from 1.13.5 to 1.13.6,closed,,2024-10-21T08:03:46Z,2024-10-24T14:44:52Z
14806,Bump byte-buddy_version from 1.15.1 to 1.15.5,closed,,2024-10-21T08:03:12Z,2024-10-25T08:45:05Z
14805,Bump io.micrometer:micrometer-bom from 1.13.5 to 1.13.6,closed,,2024-10-21T08:02:46Z,2024-10-30T02:13:05Z
14804,Bump curator5_version from 4.2.0 to 5.7.1,closed,,2024-10-21T08:02:25Z,2024-10-24T14:46:10Z
14803,Bump io.micrometer:micrometer-tracing-bom from 1.3.4 to 1.3.5,closed,,2024-10-21T08:01:53Z,2024-10-25T08:43:34Z
14802,Bump ch.qos.logback:logback-core from 1.5.10 to 1.5.11,closed,,2024-10-21T08:01:33Z,2024-10-25T08:43:25Z
14801,Simplify auth failed message,closed,,2024-10-21T06:53:10Z,2024-10-24T08:40:36Z
14800,Lower log level when no connection,closed,,2024-10-21T02:24:08Z,2024-10-24T08:41:20Z
14798,Fix fastjson2 init error cause startup failure,closed,,2024-10-21T01:39:52Z,2024-10-22T01:43:59Z
14797,add generate openapi logic,closed,,2024-10-20T15:33:13Z,None
14796,Support parsing custom REST paths from proto files and generating @Ma…,closed,,2024-10-19T15:37:16Z,2024-11-03T05:02:27Z
14795,Bump org.springframework:spring-context from 6.1.13 to 6.1.14 in /dubbo-config/dubbo-config-spring6,closed,,2024-10-18T20:21:03Z,2024-10-21T02:38:26Z
14794,Refactor dubbo spring boot structure,closed,,2024-10-18T13:09:50Z,2024-10-31T14:45:42Z
14793,Fix NetUtils: should be ignore link-local address,open,,2024-10-18T03:40:45Z,None
14787,Add  Affinity Router,open,,2024-10-17T05:32:26Z,None
14785,fix future.sync.set default value=false,closed,,2024-10-16T14:25:48Z,2024-10-21T02:31:18Z
14777,Bump com.alibaba.nacos:nacos-client from 2.4.2 to 2.4.3,closed,,2024-10-14T07:42:54Z,2024-10-17T08:41:57Z
14776,Bump io.opentelemetry:opentelemetry-bom from 1.42.1 to 1.43.0,closed,,2024-10-14T07:42:37Z,2024-10-17T08:40:53Z
14775,Bump byte-buddy_version from 1.15.1 to 1.15.4,closed,,2024-10-14T07:42:07Z,2024-10-17T08:39:48Z
14774,Bump ch.qos.logback:logback-core from 1.5.8 to 1.5.10,closed,,2024-10-14T07:41:38Z,2024-10-17T08:40:38Z
14773,Bump curator5_version from 5.7.0 to 5.7.1,closed,,2024-10-14T07:40:52Z,2024-10-17T08:39:33Z
14769,Support socks5 proxy username and password,open,,2024-10-13T19:38:29Z,None
